doy	hr	Tair	SWD	PAR	lai	Ea	Windsp m/s	precip	co2	Atm P	SoilT_2cm	SWC_2cm	flag	delta-13c	 delta-18o
1	0.5	3.7	0	0	1	0.6189	1.6	0	382.305	779.55	1.75	0.12	0	-8.11	41.43
1	1.5	4.8	0	0	1	0.5275	3.4	0	381.82	778.8	1.5	0.12	0	-8.12	41.44
1	2.5	5.3	0	0	1	0.4829	5.75	0	381.73	778.35	1.1	0.12	0	-8.13	41.45
1	3.5	3.55	0	0	1	0.4974	3.05	0	381.965	777.55	1.2	0.12	0	-8.15	41.43
1	4.5	2.6	0	0	1	0.4643	5.4	0	382.36	777.4	1.2	0.12	0	-8.16	41.4
1	5.5	1.75	0	0	1	0.4112	4.95	0	382.795	777.5	1	0.12	0	-8.17	41.41
1	6.5	1.1	0	0	1	0.3549	8.3	0	382.885	777.6	0.55	0.12	0	-8.16	41.49
1	7.5	0.65	4.5	32.5	1	0.3686	8.35	0	382.92	777.1	0.1	0.12	0	-8.12	41.55
1	8.5	1.85	108	308.5	1	0.3814	8.95	0	383.235	777.45	-0.15	0.12	0	-8.04	41.58
1	9.5	3.2	317	640.5	1	0.3764	10.05	0	383.36	778.2	0.05	0.12	0	-7.96	41.59
1	10.5	4.65	326.5	921.5	1	0.3696	7	0	383.115	779.1	1.1	0.12	0	-7.92	41.58
1	11.5	6.75	468.5	1072.5	1	0.3665	3.85	0	382.94	780.1	3.9	0.12	0	-7.89	41.58
1	12.5	7	602.5	1096	1	0.3285	5.05	0	382.785	779.8	5.6	0.12	0	-7.86	41.56
1	13.5	7.2	573	1007.5	1	0.2973	8.4	0	383.115	779.25	6.05	0.12	0	-7.86	41.52
1	14.5	7.1	479.5	807	1	0.2704	8.75	0	383.2	779.05	6.2	0.12	0	-7.84	41.53
1	15.5	6.8	326.5	513	1	0.2399	10.3	0	382.765	779.7	5.2	0.12	0	-7.85	41.53
1	16.5	5.2	137.5	155.5	1	0.2372	10.1	0	383.39	780.65	3.7	0.12	0	-7.86	41.56
1	17.5	3.9	5.5	5	1	0.2201	8.45	0	383.58	781.4	2.6	0.12	0	-7.88	41.55
1	18.5	4	0	0	1	0.1858	3.1	0	383.485	783.15	1.7	0.12	0	-7.93	41.56
1	19.5	3.25	0	0	1	0.189	6	0	383.18	784.45	1.25	0.12	0	-8.01	41.55
1	20.5	1.6	0	0	1	0.1956	2.7	0	383.075	785.65	0.6	0.12	0	-8.05	41.53
1	21.5	-0.85	0	0	1	0.2329	1.2	0	384.035	786.15	-0.05	0.12	0	-8.07	41.5
1	22.5	-1.9	0	0	1	0.2301	1.3	0	384.17	786.9	-0.65	0.12	0	-8.07	41.49
1	23.5	-2.55	0	0	1	0.2402	1.45	0	384.47	787.65	-1.2	0.12	0	-8.09	41.48
2	0.5	-3.2	0	0	1	0.2464	1.85	0	385.59	788.25	-1.7	0.12	0	-8.11	41.45
2	1.5	-3.8	0	0	1	0.2503	2.5	0	387.595	788.45	-2.05	0.12	0	-8.12	41.45
2	2.5	-2.8	0	0	1	0.2559	3.85	0	386.505	788.1	-2.35	0.12	0	-8.13	41.45
2	3.5	-3.55	0	0	1	0.254	2.4	0	390.885	788.55	-2.5	0.12	0	-8.15	41.45
2	4.5	-2.75	0	0	1	0.2479	2.75	0	389.065	788.5	-2.65	0.12	0	-8.16	41.43
2	5.5	-0.5	0	0	1	0.2475	2.55	0	385.085	788.75	-2.8	0.12	0	-8.17	41.45
2	6.5	-0.65	0	0	1	0.2561	2.15	0	384.75	789.1	-2.2	0.12	0	-8.16	41.52
2	7.5	-0.2	5.5	33	1	0.2506	1.3	0	385.655	789.25	-1.7	0.12	0	-8.12	41.59
2	8.5	2.7	102	254.5	1	0.2459	1.2	0	385.165	789.65	-1.7	0.12	0	-8.04	41.64
2	9.5	6	235.5	606.5	1	0.2574	1.35	0	383.95	790.65	-0.9	0.12	0	-7.96	41.65
2	10.5	7.8	455.5	758.5	1	0.2599	1.25	0	382.865	790.95	1.15	0.12	0	-7.92	41.63
2	11.5	9.15	549	996.5	1	0.2708	1.85	0	382.205	790.55	4.4	0.12	0	-7.89	41.64
2	12.5	10.1	570.5	1125	1	0.2869	2.05	0	382.245	789.75	6.25	0.12	0	-7.86	41.61
2	13.5	10.9	513	993	1	0.3044	1.7	0	381.88	789.1	7.45	0.12	0	-7.86	41.6
2	14.5	10.65	446.5	767	1	0.313	1.35	0	381.6	788.65	7.6	0.12	0	-7.84	41.59
