doy	hr	lai_up	lai_down
1	0.5	1	0
1	1.5	1	0
1	2.5	1	0
1	3.5	1	0
1	4.5	1	0
1	5.5	1	0
1	6.5	1	0
1	7.5	1	0
1	8.5	1	0
1	9.5	1	0
1	10.5	1	0
1	11.5	1	0
1	12.5	1	0
1	13.5	1	0
1	14.5	1	0
1	15.5	1	0
1	16.5	1	0
1	17.5	1	0
1	18.5	1	0
1	19.5	1	0
1	20.5	1	0
1	21.5	1	0
1	22.5	1	0
1	23.5	1	0
2	0.5	1	0
2	1.5	1	0
2	2.5	1	0
2	3.5	1	0
2	4.5	1	0
2	5.5	1	0
2	6.5	1	0
2	7.5	1	0
2	8.5	1	0
2	9.5	1	0
2	10.5	1	0
2	11.5	1	0
2	12.5	1	0
2	13.5	1	0
2	14.5	1	0
2	15.5	1	0
2	16.5	1	0
2	17.5	1	0
2	18.5	1	0
2	19.5	1	0
2	20.5	1	0
2	21.5	1	0
2	22.5	1	0
2	23.5	1	0
3	0.5	1	0
3	1.5	1	0
3	2.5	1	0
3	3.5	1	0
3	4.5	1	0
3	5.5	1	0
3	6.5	1	0
3	7.5	1	0
3	8.5	1	0
3	9.5	1	0
3	10.5	1	0
3	11.5	1	0
3	12.5	1	0
3	13.5	1	0
3	14.5	1	0
3	15.5	1	0
3	16.5	1	0
3	17.5	1	0
3	18.5	1	0
3	19.5	1	0
3	20.5	1	0
3	21.5	1	0
3	22.5	1	0
3	23.5	1	0
4	0.5	1	0
4	1.5	1	0
4	2.5	1	0
4	3.5	1	0
4	4.5	1	0
4	5.5	1	0
4	6.5	1	0
4	7.5	1	0
4	8.5	1	0
4	9.5	1	0
4	10.5	1	0
4	11.5	1	0
4	12.5	1	0
4	13.5	1	0
4	14.5	1	0
4	15.5	1	0
4	16.5	1	0
4	17.5	1	0
4	18.5	1	0
4	19.5	1	0
4	20.5	1	0
4	21.5	1	0
4	22.5	1	0
4	23.5	1	0
5	0.5	1	0
5	1.5	1	0
5	2.5	1	0
5	3.5	1	0
5	4.5	1	0
5	5.5	1	0
5	6.5	1	0
5	7.5	1	0
5	8.5	1	0
5	9.5	1	0
5	10.5	1	0
5	11.5	1	0
5	12.5	1	0
5	13.5	1	0
5	14.5	1	0
5	15.5	1	0
5	16.5	1	0
5	17.5	1	0
5	18.5	1	0
5	19.5	1	0
5	20.5	1	0
5	21.5	1	0
5	22.5	1	0
5	23.5	1	0
6	0.5	1	0
6	1.5	1	0
6	2.5	1	0
6	3.5	1	0
6	4.5	1	0
6	5.5	1	0
6	6.5	1	0
6	7.5	1	0
6	8.5	1	0
6	9.5	1	0
6	10.5	1	0
6	11.5	1	0
6	12.5	1	0
6	13.5	1	0
6	14.5	1	0
6	15.5	1	0
6	16.5	1	0
6	17.5	1	0
6	18.5	1	0
6	19.5	1	0
6	20.5	1	0
6	21.5	1	0
6	22.5	1	0
6	23.5	1	0
7	0.5	1	0
7	1.5	1	0
7	2.5	1	0
7	3.5	1	0
7	4.5	1	0
7	5.5	1	0
7	6.5	1	0
7	7.5	1	0
7	8.5	1	0
7	9.5	1	0
7	10.5	1	0
7	11.5	1	0
7	12.5	1	0
7	13.5	1	0
7	14.5	1	0
7	15.5	1	0
7	16.5	1	0
7	17.5	1	0
7	18.5	1	0
7	19.5	1	0
7	20.5	1	0
7	21.5	1	0
7	22.5	1	0
7	23.5	1	0
8	0.5	1	0
8	1.5	1	0
8	2.5	1	0
8	3.5	1	0
8	4.5	1	0
8	5.5	1	0
8	6.5	1	0
8	7.5	1	0
8	8.5	1	0
8	9.5	1	0
8	10.5	1	0
8	11.5	1	0
8	12.5	1	0
8	13.5	1	0
8	14.5	1	0
8	15.5	1	0
8	16.5	1	0
8	17.5	1	0
8	18.5	1	0
8	19.5	1	0
8	20.5	1	0
8	21.5	1	0
8	22.5	1	0
8	23.5	1	0
9	0.5	1	0
9	1.5	1	0
9	2.5	1	0
9	3.5	1	0
9	4.5	1	0
9	5.5	1	0
9	6.5	1	0
9	7.5	1	0
9	8.5	1	0
9	9.5	1	0
9	10.5	1	0
9	11.5	1	0
9	12.5	1	0
9	13.5	1	0
9	14.5	1	0
9	15.5	1	0
9	16.5	1	0
9	17.5	1	0
9	18.5	1	0
9	19.5	1	0
9	20.5	1	0
9	21.5	1	0
9	22.5	1	0
9	23.5	1	0
10	0.5	1	0
10	1.5	1	0
10	2.5	1	0
10	3.5	1	0
10	4.5	1	0
10	5.5	1	0
10	6.5	1	0
10	7.5	1	0
10	8.5	1	0
10	9.5	1	0
10	10.5	1	0
10	11.5	1	0
