doy	hr	d18oPrecip	2H	d18oVapour
1	0.5	-7.26	-10.0	-19.77
1	1.5	-7.27	-10.0	-19.77
1	2.5	-7.27	-10.0	-19.76
1	3.5	-7.28	-10.0	-19.76
1	4.5	-7.29	-10.0	-19.76
1	5.5	-7.30	-10.0	-19.76
1	6.5	-7.31	-10.0	-19.76
1	7.5	-7.32	-10.0	-19.76
1	8.5	-7.32	-10.0	-19.76
1	9.5	-7.33	-10.0	-19.76
1	10.5	-7.34	-10.0	-19.76
1	11.5	-7.35	-10.0	-19.76
1	12.5	-7.36	-10.0	-19.75
1	13.5	-7.37	-10.0	-19.75
1	14.5	-7.37	-10.0	-19.75
1	15.5	-7.38	-10.0	-19.75
1	16.5	-7.39	-10.0	-19.75
1	17.5	-7.40	-10.0	-19.75
1	18.5	-7.41	-10.0	-19.75
1	19.5	-7.42	-10.0	-19.75
1	20.5	-7.42	-10.0	-19.75
1	21.5	-7.43	-10.0	-19.75
1	22.5	-7.44	-10.0	-19.74
1	23.5	-7.45	-10.0	-19.74
2	0.5	-7.46	-10.0	-19.74
2	1.5	-7.47	-10.0	-19.74
2	2.5	-7.47	-10.0	-19.74
2	3.5	-7.48	-10.0	-19.74
2	4.5	-7.49	-10.0	-19.74
2	5.5	-7.50	-10.0	-19.74
2	6.5	-7.51	-10.0	-19.74
2	7.5	-7.52	-10.0	-19.73
2	8.5	-7.52	-10.0	-19.73
2	9.5	-7.53	-10.0	-19.73
2	10.5	-7.54	-10.0	-19.73
2	11.5	-7.55	-10.0	-19.73
2	12.5	-7.56	-10.0	-19.73
2	13.5	-7.57	-10.0	-19.73
2	14.5	-7.57	-10.0	-19.73
2	15.5	-7.58	-10.0	-19.73
2	16.5	-7.59	-10.0	-19.73
2	17.5	-7.60	-10.0	-19.72
2	18.5	-7.61	-10.0	-19.72
2	19.5	-7.62	-10.0	-19.72
2	20.5	-7.63	-10.0	-19.72
2	21.5	-7.63	-10.0	-19.72
2	22.5	-7.64	-10.0	-19.72
2	23.5	-7.65	-10.0	-19.72
3	0.5	-7.66	-10.0	-19.72
3	1.5	-7.67	-10.0	-19.72
3	2.5	-7.68	-10.0	-19.71
3	3.5	-7.68	-10.0	-19.71
3	4.5	-7.69	-10.0	-19.71
3	5.5	-7.70	-10.0	-19.71
3	6.5	-7.71	-10.0	-19.71
3	7.5	-7.72	-10.0	-19.71
3	8.5	-7.73	-10.0	-19.71
3	9.5	-7.73	-10.0	-19.71
3	10.5	-7.74	-10.0	-19.71
3	11.5	-7.75	-10.0	-19.71
3	12.5	-7.76	-10.0	-19.70
3	13.5	-7.77	-10.0	-19.70
3	14.5	-7.78	-10.0	-19.70
3	15.5	-7.78	-10.0	-19.70
3	16.5	-7.79	-10.0	-19.70
3	17.5	-7.80	-10.0	-19.70
3	18.5	-7.81	-10.0	-19.70
3	19.5	-7.82	-10.0	-19.70
3	20.5	-7.83	-10.0	-19.70
3	21.5	-7.83	-10.0	-19.70
3	22.5	-7.84	-10.0	-19.69
3	23.5	-7.85	-10.0	-19.69
4	0.5	-7.86	-10.0	-19.69
4	1.5	-7.87	-10.0	-19.69
4	2.5	-7.88	-10.0	-19.69
4	3.5	-7.88	-10.0	-19.69
4	4.5	-7.89	-10.0	-19.69
4	5.5	-7.90	-10.0	-19.69
4	6.5	-7.91	-10.0	-19.69
4	7.5	-7.92	-10.0	-19.68
4	8.5	-7.93	-10.0	-19.68
4	9.5	-7.93	-10.0	-19.68
4	10.5	-7.94	-10.0	-19.68
4	11.5	-7.95	-10.0	-19.68
4	12.5	-7.96	-10.0	-19.68
4	13.5	-7.97	-10.0	-19.68
4	14.5	-7.98	-10.0	-19.68
4	15.5	-7.98	-10.0	-19.68
4	16.5	-7.99	-10.0	-19.68
4	17.5	-8.00	-10.0	-19.67
4	18.5	-8.01	-10.0	-19.67
4	19.5	-8.02	-10.0	-19.67
4	20.5	-8.03	-10.0	-19.67
4	21.5	-8.03	-10.0	-19.67
4	22.5	-8.04	-10.0	-19.67
4	23.5	-8.05	-10.0	-19.67
5	0.5	-8.06	-10.0	-19.67
5	1.5	-8.07	-10.0	-19.67
5	2.5	-8.08	-10.0	-19.67
5	3.5	-8.08	-10.0	-19.66
5	4.5	-8.09	-10.0	-19.66
5	5.5	-8.10	-10.0	-19.66
5	6.5	-8.11	-10.0	-19.66
5	7.5	-8.12	-10.0	-19.66
5	8.5	-8.13	-10.0	-19.66
5	9.5	-8.13	-10.0	-19.66
5	10.5	-8.14	-10.0	-19.66
5	11.5	-8.15	-10.0	-19.66
5	12.5	-8.16	-10.0	-19.65
5	13.5	-8.17	-10.0	-19.65
5	14.5	-8.18	-10.0	-19.65
5	15.5	-8.18	-10.0	-19.65
