Date,Tair,Windsp m/s,Wind dir,precip,VPD,RH,Atm P,SWC_2cm,SoilT_2cm,SoilT_5cm,SoilT_10cm,SWD,SWU,LWD,LWU,NETRAD,U*,CO2,del_13C,del_18O,LE [W m-2],H [w m-2],Fc [µmol m-2 s-1],ustar eddy [m s-1],Rn eddy [W m-2],Tair eddy [¡C],Rho air eddy,Humidity eddy,vhor eddy [m s-1],SWDR [W m-2],SWUR [W m-2],soil resp [µmol m-2 s-1],leaf resp  [µmol m-2 s-1],ecosystem resp [µmol m-2 s-1],Rleaf/GPP
01.01.2006 00:00,3.5,1.8,226,0,0.15,80.3,77.98,0.12,1.7,0.8,1.7,0,0,296,317,-21,0.05,382.32,-8.25,41.97,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,#N/A
01.01.2006 00:30,3.9,1.4,210,0,0.2,74.4,77.93,0.12,1.8,0.8,1.8,0,0,287,310,-23,0,382.29,-8.21,42.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,#N/A
01.01.2006 01:00,4.9,3.1,230,0,0.32,62.8,77.89,0.12,1.5,0.7,1.5,0,0,277,314,-37,0.16,381.95,-8.24,42.21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,#N/A
01.01.2006 01:30,4.7,3.7,240,0,0.34,60.2,77.87,0.12,1.5,0.7,1.5,0,0,244,313,-69,0.18,381.69,-8.19,42.09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,#N/A
01.01.2006 02:00,5.4,6.8,240,0,0.41,54.1,77.85,0.12,1.1,0.6,1.1,0,0,255,321,-65,0.51,381.82,-8.23,42.09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,#N/A
01.01.2006 02:30,5.2,4.7,252,0,0.4,54.2,77.82,0.12,1.1,0.6,1.1,0,0,276,320,-44,0.36,381.64,-8.2,42.12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,#N/A
01.01.2006 03:00,4.6,1.7,281,0,0.38,54.2,77.76,0.12,1.2,0.6,1.2,0,0,291,318,-27,0.06,381.84,-8.15,42.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,#N/A
01.01.2006 03:30,2.5,4.4,269,0,0.2,71.9,77.75,0.12,1.2,0.6,1.2,0,0,301,318,-17,0.55,382.09,-8.22,42.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,#N/A
01.01.2006 04:00,2.6,5.6,239,0,0.28,61.7,77.73,0.12,1.2,0.6,1.2,0,0,238,304,-66,0.32,382.27,-8.33,41.71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,#N/A
01.01.2006 04:30,2.6,5.2,256,0,0.26,63.7,77.75,0.12,1.2,0.5,1.2,0,0,264,309,-45,0.7,382.45,-8.25,42.12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,#N/A
